23787040,BANGURE SCHOOL,Zimbabwe,31.75,19.53,980
15780956,GWABAZABUYA,Zimbabwe,27.03,19.4,1010
20808214,CHINYENYETU,Zimbabwe,29.05,17.91,910
23787192,DOROWA MINE,Zimbabwe,31.76,19.05,900
23787959,CHADZIRE,Zimbabwe,31.85,19.35,910
22807468,RIVERSDALE ESTATE,Zimbabwe,30.93,17.46,1280
20808836,NYAMWEMBI,Zimbabwe,29.1,17.76,900
15781141,NTINTILI,Zimbabwe,27.1,19.51,990
23788046,GOTORA,Zimbabwe,31.85,19.48,1000
23788168,NYASHANU MISSION,Zimbabwe,31.86,19.3,850
21772989,PEZULU FARM,Zimbabwe,29.46,19.96,1390
22807462,EVINGAR,Zimbabwe,30.86,17.51,1340
20808884,GANDEROWE FALLS,Zimbabwe,29.13,17.28,870
23788694,CHIKURAMADZIWA,Zimbabwe,31.95,19.05,870
15784244,DHLAMINI,Zimbabwe,27.35,19.5,1000
23788744,MSASA(Buhera),Zimbabwe,31.91,19.5,1050
20808997,RENGWE,Zimbabwe,29.13,17.18,870
23788745,ZVOMOYA,Zimbabwe,31.91,19.48,1010
22807575,RADDON FARM,Zimbabwe,30.9,17.4,1270
21773371,ROODEHEUVEL,Zimbabwe,29.5,20.13,1240
23789040,MAFURUSE,Zimbabwe,31.95,19.51,1080
20809204,NYAMBIRA,Zimbabwe,29.13,18,870
15784524,TSHITATSHAWA,Zimbabwe,27.43,19.68,1050
23789081,RIVER JUNCT./MAWANGWE ST,Zimbabwe,31.95,19.16,840
20809316,UNGWE RIVER,Zimbabwe,29.18,17.83,850
23789135,MUZOKOMBA,Zimbabwe,31.96,19.58,980
22807576,SOUTHMOUR,Zimbabwe,30.88,17.38,1260
23789397,ROMSLEY EST. GATU SECT.,Zimbabwe,31.98,19.01,850
20809629,MAROWA,Zimbabwe,29.2,17.78,860
21773667,GREYSTONE,Zimbabwe,29.53,20.15,1220
23789558,BETERA,Zimbabwe,32,19.36,850
22807579,SUNNYSIDE,Zimbabwe,30.88,17.36,1310
20809908,CHANGWA POOLS,Zimbabwe,29.21,17.98,840
23789913,MUCHUWA,Zimbabwe,32.13,19.71,690
22807660,BELLEVUE,Zimbabwe,30.88,17.53,1360
23789992,ROMSLEY CATTLE SECTION,Zimbabwe,32.03,19.06,850
20814539,SANYATI GORGE,Zimbabwe,28.75,16.81,500
23790003,GAMANYA(Chivhu),Zimbabwe,31.11,18.95,1480
21773691,ARUPANGA,Zimbabwe,29.51,19.95,1370
23790043,MOORLAND HUNGWE,Zimbabwe,31.1,18.6,1460
22807693,GEM(THE),Zimbabwe,30.9,17.25,1220
20814672,KARIBA GORGE,Zimbabwe,28.76,16.51,600
15784908,SITAPAWAKWA,Zimbabwe,27.46,19.83,1080
22807771,NDELICOT/RIVERSIDE,Zimbabwe,30.9,17.43,1280
20814871,KARIBA L.S.O.,Zimbabwe,28.8,16.53,530
23790149,CHITOMBO,Zimbabwe,31.11,18.53,1460
21774165,WAYLAND FARM,Zimbabwe,29.58,20.16,1190
23790713,WILTSHIRE H.Q.,Zimbabwe,31.16,18.86,1500
20814971,KARIBA HEIGHTS,Zimbabwe,28.8,16.51,830
22807863,ASCOT VALE,Zimbabwe,30.9,17.51,1280
23791014,WILTSHIRE,Zimbabwe,31.2,18.85,1500
15785286,NGAMO,Zimbabwe,27.5,19.11,1020
23791029,MAJUMBA,Zimbabwe,31.2,18.71,1420
20815872,KARIBA AIRPORT,Zimbabwe,28.88,16.51,520
22807967,JUMBO MINE,Zimbabwe,30.91,17.48,1330
23791257,SALTASH,Zimbabwe,31.21,18.46,1450
15786048,MPANENZIBA,Zimbabwe,27.56,19.46,1030
20816049,GATSHE GATSHE,Zimbabwe,28.88,16.71,490
23791542,BOW FARM,Zimbabwe,31.28,18.61,1390
22807999,MAORI RANCH,Zimbabwe,30.91,17.18,1370
23791719,MAGANGARA,Zimbabwe,31.26,18.81,1420
15790227,MALINDI RAIL,Zimbabwe,27.01,18.75,1070
21774189,DE BEER'S RANCH,Zimbabwe,29.56,19.96,1340
23792104,UNYETU,Zimbabwe,31.3,18.95,1480
20817029,MAKANDE,Zimbabwe,28.98,16.91,825
22808155,MAKALANGA,Zimbabwe,30.93,17.58,1370
23792243,LELIEFONTEIN,Zimbabwe,31.31,18.6,1340
15790525,WATERLOOP PUMPING STN.,Zimbabwe,27.03,18.76,1060
23792360,MOUNT ARTHUR,Zimbabwe,31.33,18.45,1460
21774361,INKUBU FARM,Zimbabwe,29.58,20.21,1100
23792570,POLTIMORE ESTATE,Zimbabwe,31.35,18.35,1550
23792576,MENDAMU,Zimbabwe,31.36,18.28,1560
15791715,ANTOINETTE FARM,Zimbabwe,27.16,18.86,1010
22808250,PEARSON SETTLEMENT,Zimbabwe,30.93,17.61,1350
23792649,COLLACE,Zimbabwe,31.35,18.56,1360
21774371,PENTAGON,Zimbabwe,29.6,20.13,1220
15794909,KALUGU NGAMO,Zimbabwe,27.46,18.9,730
22808276,CONCESSION RAIL,Zimbabwe,30.95,17.4,1280
23792659,LUSHINGTON,Zimbabwe,31.35,18.46,1480
20819421,ZVIPANI,Zimbabwe,29.21,16.98,1040
23792963,BONONGWE,Zimbabwe,31.4,18.41,1530
20819602,CHIDAMOYO,Zimbabwe,29.2,17.13,920
16770164,NTUNUNGWE,Zimbabwe,27.96,20.21,1300
20819720,ZVIPANI,Zimbabwe,29.1,17,1050
23792981,WADDILOVE MISSION,Zimbabwe,31.38,18.25,1550
22808278,CONCESSION SCHOOL,Zimbabwe,30.95,17.36,1260
16770338,EDWINTON(Plumtree),Zimbabwe,28,20.45,1420
23793218,ZVAMATOBWE,Zimbabwe,31.4,18.83,1370
22808298,RUFARO,Zimbabwe,30.95,17.18,1280
16770965,MANANDA DAM,Zimbabwe,28.05,20.21,1310
23793233,BITA,Zimbabwe,31.38,18.68,1370
20819995,MAKUTI POLICE,Zimbabwe,29.25,16.31,1190
22808378,CONCESSION AGRIC,Zimbabwe,30.95,17.36,1290
23793348,BATH,Zimbabwe,31.43,18.55,1380
16771235,MARULA SCHOOL,Zimbabwe,28.08,20.48,1460
24776638,CHINYADUMA,Zimbabwe,32.68,20.48,1000
23793618,KWENDA MISSION,Zimbabwe,31.45,18.83,1370
22808445,BENDAUCH,Zimbabwe,30.96,17.78,1490
16771336,MARULA RAIL,Zimbabwe,28.08,20.48,1450
24776943,GUNGUNYANA,Zimbabwe,32.71,20.4,1100
21783797,ARGYLE(Kwekwe),Zimbabwe,29.55,19,1420
22808454,HENDERSON LYSIMETER,Zimbabwe,30.96,17.58,1310
21784590,LANNES,Zimbabwe,29.63,19.05,1240
22808455,HENDERSON,Zimbabwe,30.96,17.58,1290
22808548,MGUTU VALLEY,Zimbabwe,30.96,17.65,1410
23793663,HUISH,Zimbabwe,31.43,18.41,1490
21785079,LIMERIDGE,Zimbabwe,29.66,19.15,1300
