175,TMP005,Temp  soil05 hly,Temperature  soil  hourly at 5 cm,0.10,,,Degrees C,hourly
176,TMP010,Temp  soil10 hly,Temperature  soil  hourly at 10 cm,0.10,,,Degrees C,hourly
177,TMP020,Temp  soil20 hly,Temperature  soil  hourly at 20 cm,0.10,,,Degrees C,hourly
178,TMP030,Temp  soil30 hly,Temperature  soil  hourly at 30 cm,0.10,,,Degrees C,hourly
179,TMP060,Temp  soil60 hly,Temperature  soil  hourly at 60 cm,0.10,,,Degrees C,hourly
180,TMP120,Temp  soil120 hly,Temperature  soil  hourly at 120 cm,0.10,,,Degrees C,hourly
181,WINDSPDAVG,Wind  spd  avg hourly,Wind speed  hourly average,0.10,,,Knots,hourly
182,TMP200,Temp  soil200 hly,Temperature  soil  hourly at 200 cm,0.10,,,Degrees C,hourly
183,THMGRF,Temp  THMGRF hly,Temperature of Thermograph,0.10,,,Degrees C,hourly
184,RHHYGR,RH  Hygrograph hly,Relative humidity hygrograph,1.00,100,0,Percent,hourly
185,PREGPM,Pressure  GPM,Reduced Pressure  Geopotential Metres,1.00,,,Hectopascals,hourly
186,PREQNH,Pressure  QNH,Reduced Pressure  QNH,1.00,,,Hectopascals,hourly
187,WINTOT,Wind mileage dly,Wind mileage  daily,1.00,,,Kilometers,hourly
190,CLDTY1,Cloud typ  lvl 1,Cloud  type of the lowest layer,1.00,,,Coded,hourly
191,LCLOUD,Lowest Cloud,Amount of all CsubL or if no CsubL  amount of CsubM,1.00,,,Octas,hourly
192,LCHGHT,Cloud ht  lvl 1,Cloud  height of the lowest layer,1.00,,,Coded,hourly
193,MCTYPE,Cloud  med  type,Cloud  Medium Level Type,1.00,,,Coded,hourly
194,MCAMNT,Cloud med ammount,Cloud  Medium Level Type,1.00,,,Coded,hourly
195,HCTYPE,Cloud  high type,Cloud  Medium Level Type,1.00,,,Code,hourly
196,HCAMNT,Cloud amount  high,Cloud Amout  High Level,1.00,8,0,Octas,hourly
197,MAXVIS,Visibility Max,Visibility  Maximum (00-89),1.00,,,Km,hourly
198,MINVIS,Visibility  min,Visibility  Minimum (00-89),1.00,,,Km,hourly
199,MXTWNK,Twinkies  maxdly,Twinkies  maximum daily ingestion rate  by running kilometer,1.00,,,KM/Hour,hourly
201,MNMXTM,Temp  mean max,Temperature  monthly mean maximum daily,0.10,,,Degrees C,monthly
202,MNMNTM,Temp  mean min,Temperature  monthly mean minimum daily,0.10,,,Degrees C,monthly
203,MNTMP,Temp mean mly,Temperature  monthly mean,0.10,,,Degrees C,monthly
204,XMXTMP,Temp Extreme Max,Temperature  extreme maximum monthly temperature,0.10,,,Degrees C,monthly
205,DMXTMP,Date of Extr Max,Date of the extreme maximum temperature,1.00,,,Unitless,monthly
206,XMNTMP,Temp Extreme Min,Temperature  extreme minimum monthly temperature,0.10,,,Degrees C,monthly
207,DMNTMP,Date of Extr Min,Date of the extreme minimum temperature,1.00,,,Unitless,monthly
208,TOTPRC,Precip Total Mly,Precipitation  total monthly,0.10,,,Millimeters,monthly
209,TOTSNW,Snow  Total Mly,Snowfall  total monthly,1.00,,,Centimeters,monthly
210,MXPRCP,Precip  max dly,Precipitation  greatest daily in the month,0.10,,,Millimeters,monthly
211,DMXPRC,Date of Max Prcp,Date of the greatest daily precipitation,1.00,,,Unitless,monthly
212,MXSNOW,Snowfall max dly,Snowfall  greatest daily in the month,1.00,,,Centimeters,monthly
213,DMXSNW,Date of Max Snow,Date of the greatest daily snowfall,1.00,,,Unitless,monthly
214,EVAPPN,Evap  pan  mly,Evaporation  pan  total monthly,0.10,,,Millimeters,monthly
